recipe_name,ingredients,cooking_instructions
Peanut Butter Chocolate Dessert,"1-1/4 cups all-purpose flour
1/2 cup butter, softened
1/2 cup chopped peanuts
1 package (8 ounces) cream cheese, softened
1 cup confectioners' sugar
1 carton (16 ounces) frozen whipped topping, thawed, divided
1-1/2 cups creamy peanut butter
1 cup sugar
1 teaspoon vanilla extract
1-1/2 cups semisweet chocolate chips
1-1/2 cups milk
1 tablespoon butter","1. In a bowl, combine flour, butter, and peanuts until crumbly.
2. Press into an ungreased 13x9-inch baking dish.
3. Bake at 350°F for 20-25 minutes or until lightly browned.
4. Cool on a wire rack.
5. In a large bowl, beat cream cheese and confectioners' sugar until smooth.
6. Fold in 1-3/4 cups whipped topping; spread over crust.
7. In another large bowl, beat peanut butter, sugar, and vanilla until smooth.
8. Spread over cream cheese layer.
9. In a microwave, melt chocolate chips and butter; stir until smooth.
10. Gradually stir in milk until smooth; cool.
11. Spread over peanut butter layer.
12. Spread remaining whipped topping over chocolate layer.
13. Refrigerate for at least 1 hour before serving."
Flavorful Pot Roast,"1 boneless beef chuck roast (3 to 4 pounds)
1 tablespoon canola oil
1 cup water
1/4 cup Worcestershire sauce
1 tablespoon beef bouillon granules
1 teaspoon dried rosemary, crushed
1 teaspoon dried thyme
1/2 teaspoon garlic powder
1/2 teaspoon pepper
6 medium potatoes, peeled and quartered
1 pound baby carrots
2 tablespoons cornstarch
1/4 cup cold water","1. In a Dutch oven, brown roast in oil over medium heat; drain.
2. Add the water, Worcestershire sauce, bouillon, rosemary, thyme, garlic powder, and pepper; bring to a boil.
3. Reduce heat; cover and simmer for 2-1/2 hours.
4. Add potatoes and carrots; cover and cook for 1 hour or until meat and vegetables are tender.
5. Remove meat and vegetables to a serving platter and keep warm.
6. Skim fat from pan juices; measure 2-1/2 cups, adding water if necessary. Return to the pan.
7. Combine cornstarch and cold water until smooth; gradually stir into the pan.
8. Bring to a boil; cook and stir for 2 minutes or until thickened.
9. Serve with roast and vegetables."
Pumpkin Bread,"2 cups all-purpose flour
1-1/2 cups sugar
1 teaspoon baking soda
1 teaspoon ground cinnamon
1/2 teaspoon salt
1/4 teaspoon baking powder
1/4 teaspoon ground cloves
2 large eggs
1 cup canned pumpkin
1/2 cup canola oil
1/2 cup water
1/2 cup chopped walnuts, optional","1. In a large bowl, combine the flour, sugar, baking soda, cinnamon, salt, baking powder, and cloves.
2. In another bowl, whisk the eggs, pumpkin, oil, and water.
3. Stir into dry ingredients just until moistened.
4. Fold in walnuts if desired.
5. Pour into a greased 9x5-inch loaf pan.
6. Bake at 350°F for 60-70 minutes or until a toothpick inserted in the center comes out clean.
7. Cool for 10 minutes before removing from pan to a wire rack."
Taco Lasagna,"1 pound ground beef
1 can (15 ounces) black beans, rinsed and drained
1 cup salsa
1 can (6 ounces) tomato paste
1 can (4 ounces) chopped green chilies
1 envelope taco seasoning
1/2 cup water
6 flour tortillas (8 inches)
2 cups shredded Mexican cheese blend
Optional toppings: shredded lettuce, chopped tomatoes, sliced ripe olives, sour cream, guacamole","1. In a large skillet, cook beef over medium heat until no longer pink; drain.
2. Stir in the beans, salsa, tomato paste, chilies, taco seasoning, and water.
3. Bring to a boil. Reduce heat; simmer, uncovered, for 5 minutes.
4. Spread 1 cup meat mixture in a greased 13x9-inch baking dish.
5. Top with two tortillas, a third of the remaining meat mixture, and 2/3 cup cheese.
6. Repeat layers twice.
7. Cover and bake at 350°F for 25-30 minutes or until heated through.
8. Let stand for 5 minutes before cutting.
9. Serve with optional toppings if desired."
Frosted Banana Bars,"1/2 cup butter, softened
2 cups sugar
3 large eggs
1-1/2 cups mashed ripe bananas (about 3 medium)
1 teaspoon vanilla extract
2 cups all-purpose flour
1 teaspoon baking soda
Pinch salt
Frosting:
1 package (8 ounces) cream cheese, softened
1/2 cup butter, softened
4 cups confectioners' sugar
2 teaspoons vanilla extract","1. In a large bowl, cream butter and sugar until light and fluffy.
2. Beat in eggs, bananas, and vanilla.
3. Combine the flour, baking soda, and salt; gradually add to creamed mixture.
4. Pour into a greased 15x10x1-inch baking pan.
5. Bake at 350°F for 20-25 minutes or until a toothpick inserted in the center comes out clean.
6. Cool completely on a wire rack.
7. For frosting, in a small bowl, beat cream cheese and butter until fluffy.
8. Add confectioners' sugar and vanilla; beat until smooth.
9. Spread over bars."
Shrimp Scampi,"1/4 cup butter, cubed
3 garlic cloves, minced
1 pound uncooked medium shrimp, peeled and deveined
1/2 teaspoon salt
1/4 teaspoon pepper
1/4 cup lemon juice
1/4 cup minced fresh parsley
Hot cooked linguine or rice","1. In a large skillet, heat butter over medium-high heat. Add garlic; cook and stir for 1 minute.
2. Add shrimp, salt, and pepper; cook and stir until shrimp turn pink.
3. Stir in lemon juice and parsley.
4. Serve with linguine or rice."
Rhubarb Custard Bars,"2 cups all-purpose flour
1/4 cup sugar
1 cup cold butter, cubed
Filling:
2 cups sugar
7 tablespoons all-purpose flour
1 cup heavy whipping cream
3 large eggs, beaten
5 cups finely chopped fresh or frozen rhubarb, thawed and drained","1. In a bowl, combine flour and sugar; cut in butter until the mixture resembles coarse crumbs.
2. Press into a greased 13x9-inch baking dish.
3. Bake at 350°F for 10 minutes.
4. Meanwhile, for filling, combine sugar and flour in a bowl.
5. Whisk in cream and eggs.
6. Stir in rhubarb.
7. Pour over hot crust.
8. Bake for 40-45 minutes or until custard is set.
9. Cool completely on a wire rack.
10. Cut into bars."
Caramel-Pecan Cheesecake Pie,"1 (8 oz) package cream cheese, softened
1/2 cup sugar
1/2 tsp vanilla extract
2 eggs
1 (9-inch) graham cracker crust
1/4 cup caramel ice cream topping
1/4 cup chopped pecans","1. Preheat oven to 350°F (175°C).
2. In a mixing bowl, beat cream cheese, sugar, and vanilla until smooth. Add eggs and beat on low speed just until combined.
3. Pour into crust. Bake for 30-35 minutes or until center is almost set.
4. Cool on a wire rack for 10 minutes. Carefully run a knife around the edge of the pan to loosen; cool 1 hour longer.
5. Refrigerate overnight.
6. Just before serving, drizzle with caramel topping and sprinkle with pecans."
Garlic Beef Enchiladas,"1 lb ground beef
1 small onion, chopped
2 garlic cloves, minced
1 can (10 oz) red enchilada sauce
1 can (4 oz) chopped green chilies
1/2 tsp salt
1/4 tsp pepper
6 flour tortillas (8 inches)
2 cups shredded cheddar cheese
Sour cream and chopped green onions, optional","1. In a large skillet, cook beef, onion, and garlic over medium heat until meat is no longer pink; drain.
2. Stir in the enchilada sauce, chilies, salt, and pepper; heat through.
3. Spread 1/2 cup beef mixture in each tortilla; roll up and place seam side down in a greased 11x7-in. baking dish.
4. Top with remaining beef mixture and cheese.
5. Bake, uncovered, at 350°F (175°C) for 15-20 minutes or until heated through and cheese is melted.
6. Serve with sour cream and green onions if desired."
Chunky Apple Cake,"4 cups chopped peeled tart apples
2 cups sugar
1/2 cup vegetable oil
2 large eggs
2 tsp vanilla extract
2 cups all-purpose flour
2 tsp ground cinnamon
1 tsp baking soda
1/2 tsp salt
1/2 cup chopped walnuts, optional","1. In a large bowl, combine the apples, sugar, oil, eggs, and vanilla.
2. In another bowl, whisk together the flour, cinnamon, baking soda, and salt; gradually add to apple mixture and mix well.
3. Stir in walnuts if desired.
4. Spread into a greased 13x9-in. baking dish.
5. Bake at 350°F (175°C) for 40-45 minutes or until a toothpick inserted in the center comes out clean.
6. Cool on a wire rack."
Corn Pudding,"1 can (15-1/4 oz) whole kernel corn, drained
1 can (14-3/4 oz) cream-style corn
1 cup sour cream
1/2 cup butter, melted
2 large eggs, beaten
1 package (8-1/2 oz) cornbread/muffin mix","1. In a large bowl, combine all ingredients.
2. Pour into a greased 11x7-in. baking dish.
3. Bake, uncovered, at 350°F (175°C) for 45-50 minutes or until set and lightly browned."
Black Bean ‘n’ Pumpkin Chili,"1 lb ground beef
1 medium onion, chopped
1 can (28 oz) diced tomatoes, undrained
1 can (15 oz) black beans, rinsed and drained
1 can (15 oz) solid-pack pumpkin
1 can (14-1/2 oz) beef broth
1 can (8 oz) tomato sauce
1 cup frozen corn
1 small sweet red pepper, chopped
1 small sweet yellow pepper, chopped
1 small zucchini, chopped
3 tbsp chili powder
2 tsp dried parsley flakes
1-1/2 tsp ground cumin
1-1/2 tsp dried oregano
1/2 tsp salt
1/2 tsp pepper","1. In a Dutch oven, cook beef and onion over medium heat until meat is no longer pink; drain.
2. Stir in the remaining ingredients. Bring to a boil. Reduce heat; cover and simmer for 30 minutes or until heated through, stirring occasionally."
Simple Au Gratin Potatoes,"4 medium potatoes, peeled and thinly sliced
1 small onion, thinly sliced
3 tbsp all-purpose flour
1-1/2 cups milk
1-1/2 cups shredded cheddar cheese
Salt and pepper to taste","1. Preheat oven to 350°F (175°C).
2. In a greased 1-1/2 qt. baking dish, layer half of the potatoes and onion. Sprinkle with half of the flour.
3. Pour half of the milk over the top and sprinkle with half of the cheese. Season with salt and pepper.
4. Repeat layers.
5. Cover and bake for 60-70 minutes or until potatoes are tender."
Bruschetta Chicken,"4 boneless skinless chicken breast halves (4 ounces each)
1/2 cup shredded part-skim mozzarella cheese
1/4 cup chopped seeded tomato
2 tablespoons minced fresh basil
1/4 teaspoon salt
1/8 teaspoon pepper
2 tablespoons balsamic vinaigrette","1. Flatten chicken to 1/4-in. thickness.
2. In a large nonstick skillet coated with cooking spray, cook chicken over medium heat for 4-5 minutes on each side or until juices run clear.
3. Top with cheese, tomato, basil, salt, and pepper.
4. Drizzle with vinaigrette. Cover and cook for 2-3 minutes or until cheese is melted."
Best Ever Potato Soup,"6 cups cubed peeled potatoes
1 can (14-1/2 ounces) chicken broth
1 medium carrot, grated
1/2 cup chopped onion
1 teaspoon salt
1/2 teaspoon pepper
3 cups milk
1/4 cup butter, cubed
3 tablespoons all-purpose flour
2 cups (8 ounces) shredded cheddar cheese
8 bacon strips, cooked and crumbled
4 green onions, chopped","1. In a large saucepan, combine the potatoes, broth, carrot, onion, salt, and pepper.
2. Cover and cook over medium heat for 15-20 minutes or until potatoes are tender.
3. Stir in milk; heat through but do not boil.
4. In a small skillet, melt butter; stir in flour until smooth.
5. Gradually add to soup.
6. Bring to a boil; cook and stir for 2 minutes or until thickened.
7. Remove from the heat; stir in cheese until melted.
8. Garnish with bacon and onions."
Gluten-Free Banana Bread,"3 large ripe bananas, mashed
1/3 cup melted butter
3/4 cup sugar
1 egg, beaten
1 tsp vanilla extract
1 tsp baking soda
1/4 tsp salt
1 1/2 cups gluten-free all-purpose flour","1. Preheat oven to 350°F (175°C). Grease a 4x8-inch loaf pan.
2. In a mixing bowl, mash the ripe bananas with a fork until smooth.
3. Stir the melted butter into the mashed bananas.
4. Mix in the baking soda and salt.
5. Stir in the sugar, beaten egg, and vanilla extract.
6. Mix in the gluten-free flour.
7. Pour the batter into your prepared loaf pan.
8. Bake for 1 hour or until a toothpick inserted into the center comes out clean.
9. Remove from oven and cool completely on a rack. Remove from pan and slice to serve."
Grilled Huli Huli Chicken,"3/4 cup unsweetened pineapple juice
1/2 cup soy sauce
1/2 cup packed brown sugar
1/4 cup ketchup
1/4 cup chicken broth
2-1/2 tsp minced fresh gingerroot
1-1/2 tsp minced garlic
24 boneless skinless chicken thighs (about 6 ounces each)","1. In a large bowl, combine the first seven ingredients.
2. Reserve 1-1/3 cups marinade for basting; cover and refrigerate.
3. Divide remaining marinade between two large resealable plastic bags.
4. Add 12 chicken thighs to each; seal bags and turn to coat.
5. Refrigerate for 8 hours or overnight, turning occasionally.
6. Drain and discard marinade from chicken.
7. Grill chicken, covered, over medium heat for 6-8 minutes on each side or until no longer pink; baste occasionally with reserved marinade during the last 5 minutes."
Fluffy Pancakes,"1 1/2 cups all-purpose flour
3 1/2 teaspoons baking powder
1 teaspoon salt
1 tablespoon white sugar
1 1/4 cups milk
1 egg
3 tablespoons butter, melted","1. In a large bowl, sift together the flour, baking powder, salt, and sugar.
2. Make a well in the center and pour in the milk, egg, and melted butter; mix until smooth.
3. Heat a lightly oiled griddle or frying pan over medium-high heat.
4. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake.
5. Brown on both sides and serve hot."
Asian Chicken Thighs,"6 boneless skinless chicken thighs (about 1-1/2 pounds)
1/4 cup soy sauce
1/4 cup hoisin sauce
3 tablespoons honey
2 tablespoons sesame oil
2 tablespoons ketchup
2 garlic cloves, minced
1 teaspoon grated fresh ginger
1/4 teaspoon crushed red pepper flakes","1. Place chicken in a 4- or 5-qt. slow cooker.
2. In a small bowl, mix remaining ingredients; pour over chicken. Cook, covered, on low 4-5 hours or until chicken is tender."
Pumpkin Bars,"4 large eggs
1-2/3 cups sugar
1 cup canola oil
1 can (15 ounces) pumpkin
2 cups all-purpose flour
2 teaspoons ground cinnamon
2 teaspoons baking powder
1 teaspoon baking soda
1 teaspoon salt
1 package (3 ounces) cream cheese, softened
1/2 cup butter, softened
2 cups confectioners' sugar
1 teaspoon vanilla extract","1. In a large bowl, beat the eggs, sugar, oil, and pumpkin until well blended.
2. Combine the flour, cinnamon, baking powder, baking soda, and salt; gradually add to pumpkin mixture and mix well.
3. Pour into an ungreased 15x10x1-in. baking pan.
4. Bake at 350°F (175°C) for 25-30 minutes or until set.
5. Cool completely.
6. For frosting, beat the cream cheese, butter, confectioners' sugar, and vanilla in a small bowl until smooth.
7. Spread over bars. Store in the refrigerator."
Cheeseburger Paradise Soup,"1 pound ground beef
1/4 cup chopped onion
1/4 cup chopped green pepper
1/4 cup chopped celery
1 can (14-1/2 ounces) diced tomatoes, undrained
1 cup sliced carrots
1 cup cubed peeled potatoes
2 cups beef broth
1 teaspoon salt
1/8 teaspoon pepper
1 cup (4 ounces) shredded cheddar cheese
1/2 cup milk","1. In a Dutch oven, cook the beef, onion, green pepper, and celery over medium heat until meat is no longer pink; drain.
2. Stir in the tomatoes, carrots, potatoes, broth, salt, and pepper.
3. Bring to a boil. Reduce heat; cover and simmer for 15-20 minutes or until potatoes are tender.
4. Stir in cheese and milk; cook and stir over low heat until cheese is melted."
Special Banana Nut Bread,"1-1/4 cups sugar
1/2 cup butter, softened
2 eggs
1-1/2 cups mashed ripe bananas (about 3 medium)
1/2 cup buttermilk
1 teaspoon vanilla extract
2-1/2 cups all-purpose flour
1 teaspoon baking powder
1 teaspoon baking soda
1/2 teaspoon salt
1/2 cup chopped walnuts","1. In a large bowl, cream sugar and butter.
2. Beat in eggs, bananas, buttermilk, and vanilla.
3. Combine flour, baking powder, baking soda, and salt; stir into creamed mixture just until moistened.
4. Fold in nuts.
5. Pour into three greased 8x4-in. loaf pans.
6. Bake at 350°F (175°C) for 45-55 minutes or until a toothpick inserted in the center comes out clean.
7. Cool for 10 minutes before removing from pans to wire racks."
Peanut Butter Cup Cheesecake,"1-1/4 cups crushed chocolate wafers (about 22 wafers)
1/4 cup sugar
1/3 cup butter, melted
2 packages (8 ounces each) cream cheese, softened
3/4 cup sugar
1 teaspoon vanilla extract
3 large eggs, lightly beaten
1 cup sour cream
2 cups chopped peanut butter cups, divided
1/4 cup hot fudge ice cream topping, warmed","1. In a small bowl, combine the wafer crumbs and sugar; stir in butter.
2. Press onto the bottom of a greased 9-in. springform pan; set aside.
3. In a large bowl, beat cream cheese and sugar until smooth.
4. Beat in vanilla.
5. Add eggs; beat on low speed just until combined.
6. Fold in sour cream and 1 cup peanut butter cups.
7. Pour over crust.
8. Place pan on a baking sheet.
9. Bake at 325°F (160°C) for 45-50 minutes or until center is almost set.
10. Cool on a wire rack for 10 minutes.
11. Carefully run a knife around edge of pan to loosen; cool 1 hour longer.
12. Refrigerate overnight.
13. Remove sides of pan.
14. Just before serving, sprinkle with remaining peanut butter cups.
15. Drizzle with hot fudge topping."
Favorite Dutch Apple Pie,"Pastry for single-crust pie (9 inches)
3/4 cup sugar
2 tablespoons all-purpose flour
1 teaspoon ground cinnamon
1/4 teaspoon ground nutmeg
1/4 teaspoon salt
6 cups thinly sliced peeled tart apples
3/4 cup packed brown sugar
1/2 cup all-purpose flour
1/2 cup quick-cooking oats
1/3 cup cold butter, cubed
Vanilla ice cream, optional","1. Preheat oven to 375°F (190°C).
2. On a lightly floured surface, roll out pastry to fit a 9-in. pie plate. Transfer pastry to pie plate.
3. In a large bowl, combine the sugar, flour, cinnamon, nutmeg, and salt.
4. Add apples; toss to coat.
5. Arrange in crust.
6. For topping, in a small bowl, combine brown sugar, flour, and oats; cut in butter until crumbly.
7. Sprinkle over filling.
8. Bake at 375°F (190°C) for 45-55 minutes or until apples are tender.
9. Serve warm, with ice cream if desired."
Smothered Chicken Breasts,"4 boneless skinless chicken breast halves (4 ounces each)
1/2 teaspoon salt
1/4 teaspoon pepper
2 tablespoons olive oil
1 medium onion, sliced
1 medium green pepper, sliced
1 can (14-1/2 ounces) diced tomatoes, undrained
1/2 cup shredded cheddar cheese","1. Flatten chicken to 1/4-in. thickness; sprinkle with salt and pepper.
2. In a large skillet, cook chicken in oil over medium heat for 4-5 minutes on each side or until a thermometer reads 170°F.
3. Remove and keep warm.
4. In the same skillet, sauté onion and green pepper until tender.
5. Add tomatoes; cook 2 minutes longer.
6. Return chicken to skillet.
7. Sprinkle with cheese.
8. Cover and cook for 2-3 minutes or until cheese is melted."
Lemon Blueberry Bread,"1/3 cup melted butter
1 cup sugar
3 tablespoons lemon juice
2 eggs
1 1/2 cups all-purpose flour
1 teaspoon baking powder
1 teaspoon salt
1/2 cup milk
2 tablespoons grated lemon zest
1/2 cup chopped walnuts
1 cup fresh or frozen blueberries
2 tablespoons lemon juice
1/4 cup sugar","1. Preheat oven to 350°F (175°C). Grease a 9x5-inch loaf pan.
2. In a mixing bowl, beat together butter, 1 cup sugar, juice, and eggs.
3. Combine flour, baking powder, and salt; stir into egg mixture alternately with milk.
4. Fold in lemon zest, nuts, and blueberries.
5. Pour batter into prepared pan.
6. Bake in preheated oven for 60-70 minutes, until a toothpick inserted into the center of the loaf comes out clean.
7. Cool bread in pan for 10 minutes.
8. Meanwhile, combine lemon juice and 1/4 cup sugar in a small bowl.
9. Remove bread from pan and drizzle with glaze. Cool on a wire rack."
Slow-Cooker Lasagna,"1 pound ground beef
1 medium onion, chopped
2 garlic cloves, minced
1 can (29 ounces) tomato sauce
1 cup water
1 can (6 ounces) tomato paste
1 teaspoon salt
1 teaspoon dried oregano
1 package (8 ounces) no-cook lasagna noodles
4 cups (16 ounces) shredded part-skim mozzarella cheese
1-1/2 cups (12 ounces) 4% cottage cheese
1/2 cup grated Parmesan cheese","1. In a skillet, cook beef, onion, and garlic over medium heat until meat is no longer pink; drain.
2. Add tomato sauce, water, tomato paste, salt, and oregano; mix well.
3. Spread a fourth of the meat sauce in an ungreased 5- or 6-qt. slow cooker.
4. Arrange a third of the noodles over sauce (break the noodles if necessary).
5. Combine the cheeses; spoon a third of the mixture over noodles.
6. Repeat layers twice.
7. Top with remaining meat sauce.
8. Cover and cook on low for 4-5 hours or until noodles are tender.
9. Sprinkle with additional Parmesan cheese if desired."
Vegetarian Linguine,"8 ounces uncooked linguine
1/4 cup butter, cubed
2 garlic cloves, minced
1 can (14-1/2 ounces) diced tomatoes, undrained
1 can (10-3/4 ounces) condensed cream of mushroom soup, undiluted
1/2 cup grated Parmesan cheese
1/4 cup minced fresh basil or 1 tablespoon dried basil
1/4 teaspoon pepper","1. Cook linguine according to package directions.
2. Meanwhile, in a large skillet, melt butter over medium heat.
3. Add garlic; cook and stir 1 minute.
4. Stir in the tomatoes, soup, cheese, basil, and pepper.
5. Bring to a boil. Reduce heat; simmer, uncovered, for 3-4 minutes or until heated through.
6. Drain linguine; toss with sauce."
Pork Chops with Scalloped Potatoes,"6 pork loin chops (3/4 inch thick)
1 tablespoon vegetable oil
1 can (10-3/4 ounces) condensed cream of mushroom soup, undiluted
1/2 cup milk
1/2 teaspoon salt
1/8 teaspoon pepper
4 cups thinly sliced peeled potatoes
1/2 cup chopped onion","1. In a large skillet, brown pork chops in oil.
2. In a bowl, combine soup, milk, salt, and pepper.
3. Place half of the potatoes and onion in a greased 13x9-in. baking dish.
4. Pour half of the soup mixture over the top.
5. Top with pork chops, remaining potatoes, onion, and soup mixture.
6. Cover and bake at 350°F (175°C) for 1 hour.
7. Uncover; bake 30 minutes longer or until potatoes are tender."
Chicken and Dumplings,"1 broiler/fryer chicken (3-1/2 to 4 pounds), cut up
2 quarts water
2 celery ribs with leaves, chopped
1 medium onion, chopped
1 teaspoon salt
1/4 teaspoon pepper
DUMPLINGS:
2 cups all-purpose flour
1 tablespoon baking powder
1 teaspoon salt
1 cup whole milk
1/4 cup minced fresh parsley","1. In a Dutch oven, combine the first six ingredients; bring to a boil.
2. Reduce heat; cover and simmer for 2 hours or until chicken is tender.
3. Remove chicken and set aside until cool enough to handle.
4. Strain broth, reserving 3 cups. Return the broth and chicken to the pan; bring to a boil.
5. For dumplings, combine the flour, baking powder, and salt in a bowl.
6. Stir in milk and parsley just until moistened.
7. Drop by tablespoonfuls into simmering broth.
8. Cover and simmer for 15-20 minutes or until a toothpick inserted into a dumpling comes out clean (do not lift the cover while simmering)."
Big Soft Ginger Cookies,"2-1/4 cups all-purpose flour
2 teaspoons ground ginger
1 teaspoon baking soda
3/4 teaspoon ground cinnamon
1/2 teaspoon ground cloves
1/4 teaspoon salt
3/4 cup butter, softened
1 cup sugar
1 egg
1 tablespoon water
1/4 cup molasses
2 tablespoons sugar","1. Preheat oven to 350°F (175°C). Sift together the flour, ginger, baking soda, cinnamon, cloves, and salt. Set aside.
2. In a large bowl, cream together the butter and 1 cup sugar until light and fluffy.
3. Beat in the egg, then stir in the water and molasses.
4. Gradually stir the sifted ingredients into the molasses mixture.
5. Shape dough into walnut-sized balls and roll them in the remaining 2 tablespoons of sugar.
6. Place the cookies 2 inches apart onto an ungreased cookie sheet and flatten slightly.
7. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely. Store in an airtight container."
Creamy Coleslaw,"1/4 cup sour cream
3 tablespoons mayonnaise
2 tablespoons sugar
1 tablespoon cider vinegar
1/2 teaspoon salt
1/4 teaspoon pepper
4 cups shredded cabbage
1/2 cup shredded carrot
1/4 cup chopped sweet red pepper","1. In a large bowl, whisk together the sour cream, mayonnaise, sugar, vinegar, salt, and pepper.
2. Add the cabbage, carrot, and red pepper; toss to coat.
3. Cover and refrigerate until serving."
Chocolate Caramel Candy,"1 cup butter
2 cups packed brown sugar
1 cup light corn syrup
1 can (14 ounces) sweetened condensed milk
1 teaspoon vanilla extract
1/4 teaspoon salt
2 cups (12 ounces) semisweet chocolate chips","1. Line a 13x9-in. pan with foil and grease the foil with 1 tablespoon butter; set aside.
2. In a heavy saucepan, melt the remaining butter over medium heat.
3. Add brown sugar and corn syrup; bring to a boil over medium heat, stirring constantly.
4. Boil for 5 minutes, stirring occasionally.
5. Stir in milk.
6. Cook and stir until a candy thermometer reads 248°F (firm-ball stage), about 30-40 minutes.
7. Remove from the heat; stir in vanilla and salt.
8. Pour into prepared pan.
9. Cool completely.
10. Using foil, lift candy out of the pan; remove foil.
11. Cut candy into 1-in. squares.
12. In a microwave, melt chocolate chips; stir until smooth.
13. Dip candy squares into chocolate; allow excess to drip off.
14. Place on waxed paper; let stand until set."
Chicken Wild Rice Soup,"1/2 cup chopped celery
1/4 cup chopped onion
2 tablespoons butter
3 cups chicken broth
1/2 cup shredded carrots
1/4 teaspoon salt
1/4 teaspoon pepper
1/4 teaspoon dried thyme
1/4 teaspoon poultry seasoning
1/4 cup all-purpose flour
1 cup cooked wild rice
1 cup cubed cooked chicken
2 cups half-and-half","1. In a large saucepan, sauté celery and onion in butter until tender.
2. Add broth, carrots, and seasonings; bring to a boil.
3. Reduce heat; cover and simmer for 15 minutes.
4. Combine flour and half-and-half until smooth; gradually stir into soup.
5. Bring to a boil; cook and stir for 2 minutes or until thickened.
6. Add rice and chicken; heat through."
Chocolate Guinness Cake,"1 cup Guinness stout
1 cup butter, cubed
3/4 cup baking cocoa
2 cups all-purpose flour
2 cups sugar
1-1/2 teaspoons baking soda
3/4 teaspoon salt
2 eggs
2/3 cup sour cream
FROSTING:
1 package (8 ounces) cream cheese, softened
1-1/2 cups confectioners' sugar
1/2 cup heavy whipping cream","1. Preheat oven to 350°F (175°C).
2. Grease a 9-in. springform pan and line the bottom with parchment paper; set aside.
3. In a large saucepan, heat Guinness and butter until butter is melted; remove from heat.
4. Whisk in cocoa until smooth. Cool slightly.
5. In a large bowl, combine the flour, sugar, baking soda, and salt; set aside.
6. In a small bowl, beat eggs and sour cream until smooth; add to beer mixture.
7. Gradually add to dry ingredients, beating until well blended.
8. Pour into prepared pan.
9. Bake at 350°F (175°C) for 45-50 minutes or until a toothpick inserted in the center comes out clean.
10. Cool completely in pan on a wire rack.
11. Remove cake from pan and place on a platter or cake stand.
12. For frosting, in a large bowl, beat cream cheese until fluffy.
13. Add confectioners' sugar and cream; beat until smooth and creamy.
14. Spread over top of cake. Refrigerate until serving."
White Bean Chicken Chili,"1 tablespoon canola oil
1 pound boneless skinless chicken breasts, cubed
1 medium onion, chopped
1-1/2 teaspoons garlic powder
2 cans (15-1/2 ounces each) great northern beans, rinsed and drained
1 can (14-1/2 ounces) chicken broth
2 cans (4 ounces each) chopped green chilies
1 teaspoon salt
1 teaspoon ground cumin
1 teaspoon dried oregano
1/2 teaspoon pepper
1/4 teaspoon cayenne pepper
1 cup (8 ounces) sour cream
1/2 cup heavy whipping cream","1. In a large saucepan, heat oil over medium heat.
2. Add chicken, onion, and garlic powder; cook and stir until chicken is no longer pink.
3. Add the beans, broth, chilies, and seasonings. Bring to a boil.
4. Reduce heat; simmer, uncovered, for 30 minutes.
5. Remove from the heat; stir in sour cream and cream. Serve immediately."
Easy Chicken Enchiladas,"1 can (10-3/4 ounces) condensed cream of chicken soup, undiluted
1 cup (8 ounces) sour cream
1 cup (4 ounces) shredded cheddar cheese, divided
1 cup (4 ounces) shredded Monterey Jack cheese, divided
2 cups cubed cooked chicken
1 can (4 ounces) chopped green chilies
1/4 cup chopped onion
1/4 cup chopped green pepper
1/4 cup chopped sweet red pepper
8 flour tortillas (6 inches)
1 can (10 ounces) enchilada sauce","1. In a large bowl, combine the soup, sour cream, 1/2 cup cheddar cheese, and 1/2 cup Monterey Jack cheese.
2. Stir in the chicken, chilies, onion, and peppers.
3. Spoon about 1/3 cup off-center on each tortilla; roll up and place seam side down in a greased 13x9-in. baking dish.
4. Pour enchilada sauce over top; sprinkle with remaining cheeses.
5. Bake, uncovered, at 350°F (175°C) for 20-25 minutes or until heated through and cheese is melted."
Banana Bars with Cream Cheese Frosting,"1/2 cup butter, softened
2 cups sugar
3 large eggs
1-1/2 cups mashed ripe bananas (about 4 medium)
1 teaspoon vanilla extract
2 cups all-purpose flour
1 teaspoon baking soda
PINCH SALT
FROSTING:
1 package (8 ounces) cream cheese, softened
1/2 cup butter, softened
4 cups confectioners' sugar
2 teaspoons vanilla extract","1. In a large bowl, cream butter and sugar until light and fluffy.
2. Beat in eggs, bananas, and vanilla.
3. Combine the flour, baking soda, and salt; gradually add to creamed mixture.
4. Pour into a greased 15x10x1-in. baking pan.
5. Bake at 350°F (175°C) for 20-25 minutes or until a toothpick inserted in the center comes out clean.
6. Cool completely.
7. For frosting, in a small bowl, beat cream cheese and butter until fluffy.
8. Add confectioners' sugar and vanilla; beat until smooth.
9. Frost bars."
